Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Afghanistan,AFG,45.118,55.005,62.27,62.646,62.406,62.443,62.941,61.454,60.417,65.617,66.035,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Albania,ALB,72.71,74.826,78.358,78.643,78.9,79.238,79.467,77.824,76.844,78.769,79.602,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Algeria,DZA,67.658,70.576,75.159,75.31,75.431,75.555,75.682,73.257,75.208,76.129,76.261,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,American Samoa,ASM,71.107,71.443,72.654,72.64,72.801,72.794,72.751,72.672,72.708,72.752,72.852,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Andorra,AND,78.961,81.863,84.532,84.489,84.359,84.242,84.098,79.418,82.331,84.016,84.041,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Angola,AGO,41.854,46.501,61.042,61.619,62.122,62.622,63.051,63.116,62.958,64.246,64.617,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Antigua and Barbuda,ATG,73.602,74.819,76.892,76.968,77.03,77.132,77.168,77.161,77.197,77.483,77.598,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Argentina,ARG,71.615,73.91,76.6,76.105,76.543,76.77,76.847,75.878,73.948,75.806,77.395,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Armenia,ARM,67.5493658536585,72.8804878048781,74.8707317073171,74.8682926829268,75.2170731707317,75.619512195122,76.2219512195122,73.3756097560976,72.2780487804878,74.7658536585366,77.4658536585366,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Aruba,ABW,72.546,72.939,75.405,75.54,75.62,75.88,76.019,75.406,73.655,76.226,76.353,..
